Nome do Talhao,tl1,tl1,tl1,,tl2,tl2,tl2,,tl3,tl3,tl3,,tl4,tl4,tl4,
Area do Talhao (Ha),50,50,50,,30,30,30,,10,10,10,,25,25,25,
Georreferenciamento (utm x;y em metros),"1,353535;3,3533535","1,353535;3,3533535","1,353535;3,3533535",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",
1.1 - Sementes de Algodão,"R$ 1,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",
1.1.1 - Royalteis sementes algodão,"R$ 2,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",
1.2 - Sementes de cobertura (pré-plantio de algodão),"R$ 3,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",
2.1 - Corretivos de solo - Calcário / Fósforo / Potássio / Gesso Agrícola,"R$ 4,00","R$ 11,00","R$ 21,00",,"R$ 8,00","R$ 18,00","R$ 28,00",,"R$ 8,00","R$ 18,00","R$ 28,00",,"R$ 8,00","R$ 18,00","R$ 28,00",
2.2 - Macronutriente - NPK - Base e Cobertura,"R$ 5,00","R$ 12,00","R$ 0,00",,"R$ 9,00","R$ 19,00","R$ 29,00",,"R$ 9,00","R$ 19,00","R$ 29,00",,"R$ 9,00","R$ 19,00","R$ 29,00",
2.3 - Micronutriente - Solo e Cobertura,"R$ 6,00","R$ 13,00","R$ 22,00",,"R$ 10,00","R$ 20,00","R$ 30,00",,"R$ 10,00","R$ 20,00","R$ 30,00",,"R$ 10,00","R$ 20,00","R$ 30,00",
3.1 -  Manejo Pré Plantio,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",
3.2 -  Adubação e Plantio,"R$ 8,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",
3.3 - Aplicações de agrotóxicos e cobertura com máquinas terrestres,"R$ 9,00","R$ 14,00","R$ 24,00",,"R$ 13,00","R$ 23,00","R$ 33,00",,"R$ 13,00","R$ 23,00","R$ 33,00",,"R$ 13,00","R$ 23,00","R$ 33,00",
3.4 - Aplicações de agrotóxicos e cobertura com avião agrícola,"R$ 10,00","R$ 15,00","R$ 25,00",,"R$ 14,00","R$ 24,00","R$ 34,00",,"R$ 14,00","R$ 24,00","R$ 34,00",,"R$ 14,00","R$ 24,00","R$ 34,00",
3.5 - Colheita,"R$ 0,00","R$ 0,00","R$ 26,00",,"R$ 0,00","R$ 0,00","R$ 55,00",,"R$ 0,00","R$ 0,00","R$ 55,00",,"R$ 0,00","R$ 0,00","R$ 55,00",
3.5.1 - Embalagens Colheita (filme plástico) / Utensílios,"R$ 0,00","R$ 0,00","R$ 27,00",,"R$ 0,00","R$ 0,00","R$ 66,00",,"R$ 0,00","R$ 0,00","R$ 66,00",,"R$ 0,00","R$ 0,00","R$ 66,00",
3.7 - Serviços terceirizados - Aluguel de máquinas e outro,"R$ 12,00","R$ 17,00","R$ 29,00",,"R$ 16,00","R$ 26,00","R$ 36,00",,"R$ 16,00","R$ 26,00","R$ 36,00",,"R$ 16,00","R$ 26,00","R$ 36,00",
3.7.1 - Serviço terceirizado - Aluguel de máquinas e outro 1 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.7.2 - Serviço terceirizado - Aluguel de máquinas e outro 2 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.7.3 - Serviço terceirizado - Aluguel de máquinas e outro 3 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.7.4 - Serviço terceirizado - Aluguel de máquinas e outro 4 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.7.5 - Serviço terceirizado - Aluguel de máquinas e outro 5 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.8 - Irrigação (A),"R$ 13,00","R$ 18,00","R$ 30,00",,"R$ 17,00","R$ 27,00","R$ 37,00",,"R$ 17,00","R$ 27,00","R$ 37,00",,"R$ 17,00","R$ 27,00","R$ 37,00",
3.9 - Coleta de imagens multiespectrais com drones (VANTs),"R$ 14,00","R$ 19,00","R$ 31,00",,"R$ 18,00","R$ 28,00","R$ 38,00",,"R$ 18,00","R$ 28,00","R$ 38,00",,"R$ 18,00","R$ 28,00","R$ 38,00",
4.1.1 - Fungicida,"R$ 16,00","R$ 21,00","R$ 33,00",,"R$ 20,00","R$ 30,00","R$ 40,00",,"R$ 20,00","R$ 30,00","R$ 40,00",,"R$ 20,00","R$ 30,00","R$ 40,00",
4.1.2 - Herbicida,"R$ 17,00","R$ 22,00","R$ 34,00",,"R$ 21,00","R$ 31,00","R$ 41,00",,"R$ 21,00","R$ 31,00","R$ 41,00",,"R$ 21,00","R$ 31,00","R$ 41,00",
4.1.3 - Inseticida,"R$ 18,00","R$ 23,00","R$ 35,00",,"R$ 22,00","R$ 32,00","R$ 42,00",,"R$ 22,00","R$ 32,00","R$ 42,00",,"R$ 22,00","R$ 32,00","R$ 42,00",
"4.1.4 - Adjuvantes / Outros (fitohormônios, estimulantes, etc.)","R$ 19,00","R$ 24,00","R$ 36,00",,"R$ 23,00","R$ 33,00","R$ 43,00",,"R$ 23,00","R$ 33,00","R$ 43,00",,"R$ 23,00","R$ 33,00","R$ 43,00",
4.1.4.1 - Adjuvante / Outros 1 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
4.1.4.2 - Adjuvante / Outros 2 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
4.1.4.3 - Adjuvante / Outros 3 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
4.1.4.4 - Adjuvante / Outros 4 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
4.1.4.5 - Adjuvante / Outros 5 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
Valor Permanente para cada Hectare,"R$ 100,00","R$ 100,00","R$ 100,00",,"R$ 60,00","R$ 60,00","R$ 60,00",,"R$ 20,00","R$ 20,00","R$ 20,00",,"R$ 50,00","R$ 50,00","R$ 50,00",
Valor Temporária para cada Hectare,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
Valor Manutenção Máquinas Equipamentos Utilit. para cada Hectare,"R$ 47,50","R$ 47,50","R$ 47,50",,"R$ 28,50","R$ 28,50","R$ 28,50",,"R$ 9,50","R$ 9,50","R$ 9,50",,"R$ 23,75","R$ 23,75","R$ 23,75",
Valor Manutenção Benfeitorias para cada Hectare,"R$ 63,50","R$ 63,50","R$ 63,50",,"R$ 38,10","R$ 38,10","R$ 38,10",,"R$ 12,70","R$ 12,70","R$ 12,70",,"R$ 31,75","R$ 31,75","R$ 31,75",
Valor Funrural para cada Hectare,"R$ 79,50","R$ 79,50","R$ 79,50",,"R$ 47,70","R$ 47,70","R$ 47,70",,"R$ 15,90","R$ 15,90","R$ 15,90",,"R$ 39,75","R$ 39,75","R$ 39,75",
Valor Fethab I para cada Hectare,"R$ 95,00","R$ 95,00","R$ 95,00",,"R$ 57,00","R$ 57,00","R$ 57,00",,"R$ 19,00","R$ 19,00","R$ 19,00",,"R$ 47,50","R$ 47,50","R$ 47,50",
Valor Fethab II para cada Hectare,"R$ 111,00","R$ 111,00","R$ 111,00",,"R$ 66,60","R$ 66,60","R$ 66,60",,"R$ 22,20","R$ 22,20","R$ 22,20",,"R$ 55,50","R$ 55,50","R$ 55,50",
Valor ITR para cada Hectare,"R$ 127,00","R$ 127,00","R$ 127,00",,"R$ 76,20","R$ 76,20","R$ 76,20",,"R$ 25,40","R$ 25,40","R$ 25,40",,"R$ 63,50","R$ 63,50","R$ 63,50",
Valor IMA - MT para cada Hectare,"R$ 158,50","R$ 158,50","R$ 158,50",,"R$ 95,10","R$ 95,10","R$ 95,10",,"R$ 31,70","R$ 31,70","R$ 31,70",,"R$ 79,25","R$ 79,25","R$ 79,25",
Valor Outro Imposto/Taxa 1 para cada Hectare,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
Valor Outro Imposto/Taxa 2 para cada Hectare,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
Valor Outro Imposto/Taxa 3 para cada Hectare,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
Valor Outro Imposto/Taxa 4 para cada Hectare,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
"Valor Financiamentos (taxas, IOF, juros) para cada Hectare","R$ 173,00","R$ 173,00","R$ 173,00",,"R$ 103,80","R$ 103,80","R$ 103,80",,"R$ 34,60","R$ 34,60","R$ 34,60",,"R$ 86,50","R$ 86,50","R$ 86,50",
Valor Seguro da Produção para cada Hectare,"R$ 187,50","R$ 187,50","R$ 187,50",,"R$ 112,50","R$ 112,50","R$ 112,50",,"R$ 37,50","R$ 37,50","R$ 37,50",,"R$ 93,75","R$ 93,75","R$ 93,75",
Valor Seguro Maquinario Equipamentos Utilit. para cada Hectare,"R$ 202,00","R$ 202,00","R$ 202,00",,"R$ 121,20","R$ 121,20","R$ 121,20",,"R$ 40,40","R$ 40,40","R$ 40,40",,"R$ 101,00","R$ 101,00","R$ 101,00",
Valor Assistência Técnica para cada Hectare,"R$ 216,50","R$ 216,50","R$ 216,50",,"R$ 129,90","R$ 129,90","R$ 129,90",,"R$ 43,30","R$ 43,30","R$ 43,30",,"R$ 108,25","R$ 108,25","R$ 108,25",
Valor Combustível Utilitários para cada Hectare,"R$ 274,00","R$ 274,00","R$ 274,00",,"R$ 164,40","R$ 164,40","R$ 164,40",,"R$ 54,80","R$ 54,80","R$ 54,80",,"R$ 137,00","R$ 137,00","R$ 137,00",
Valor Despesas Gerias para cada Hectare,"R$ 288,50","R$ 288,50","R$ 288,50",,"R$ 173,10","R$ 173,10","R$ 173,10",,"R$ 57,70","R$ 57,70","R$ 57,70",,"R$ 144,25","R$ 144,25","R$ 144,25",
Valor Análise de Solo (A) para cada Hectare,"R$ 303,00","R$ 303,00","R$ 303,00",,"R$ 181,80","R$ 181,80","R$ 181,80",,"R$ 60,60","R$ 60,60","R$ 60,60",,"R$ 151,50","R$ 151,50","R$ 151,50",
Valor Custo c/ Alimentação para cada Hectare,"R$ 346,50","R$ 346,50","R$ 346,50",,"R$ 207,90","R$ 207,90","R$ 207,90",,"R$ 69,30","R$ 69,30","R$ 69,30",,"R$ 173,25","R$ 173,25","R$ 173,25",
Total Parcial do Talhao,"R$ 2937,00","R$ 2982,00","R$ 3146,00",,"R$ 1895,80","R$ 1974,80","R$ 2215,80",,"R$ 786,60","R$ 865,60","R$ 1106,60",,"R$ 1618,50","R$ 1697,50","R$ 1938,50",
Total Acumulado,"R$ 2937,00","R$ 5919,00","R$ 9065,00",,"R$ 1895,80","R$ 3870,60","R$ 6086,40",,"R$ 786,60","R$ 1652,20","R$ 2758,80",,"R$ 1618,50","R$ 3316,00","R$ 5254,50",
Total por Hectare,"R$ 58,74","R$ 118,38","R$ 181,30",,"R$ 63,19","R$ 129,02","R$ 202,88",,"R$ 78,66","R$ 165,22","R$ 275,88",,"R$ 64,74","R$ 132,64","R$ 210,18",
Ciclo / Periodo Agricola,"R$ 1,00","R$ 1,00","R$ 1,00",,"R$ 1,00","R$ 1,00","R$ 1,00",,"R$ 1,00","R$ 1,00","R$ 1,00",,"R$ 1,00","R$ 1,00","R$ 1,00",
Ano(s),"R$ 2024,00","R$ 2024,00","R$ 2024,00",,"R$ 2024,00","R$ 2024,00","R$ 2024,00",,"R$ 2024,00","R$ 2024,00","R$ 2024,00",,"R$ 2024,00","R$ 2024,00","R$ 2024,00",
