etp_veg,data_voo,n_dias_voo,data_solo,n_dias_solo,bloco,utm-x,utm-y,pH_H2O_sA,pH_SMP_sA,P_sA,K_sA,K_trocavel_sA,MO_sA,Ca_sA,Zn_sA,B_sA,Mn_sA,Fe_sA,Na_sA,S_sA,Mg_sA,pH_H2O_sB,pH_SMP_sB,P_sB,K_sB,K_trocavel_sB,MO_sB,Ca_sB,Zn_sB,B_sB,Mn_sB,Fe_sB,Na_sB,S_sB,Mg_sB,b_avg,b_md,b_sd,b_asm,b_krt,g_avg,g_md,g_sd,g_asm,g_krt,r_avg,r_md,r_sd,r_asm,r_krt,rd_avg,rd_md,rd_sd,rd_asm,rd_krt,nir_avg,nir_md,nir_sd,nir_asm,nir_krt,lwir_avg,lwir_md,lwir_sd,lwir_asm,lwir_krt,ndvi_avg,ndvi_md,ndvi_sd,ndvi_asm,ndvi_krt,ndre_avg,ndre_md,ndre_sd,ndre_asm,ndre_krt,savi_avg,savi_md,savi_sd,savi_asm,savi_krt,sccci_avg,sccci_md,sccci_sd,sccci_asm,sccci_krt,gli_avg,gli_md,gli_sd,gli_asm,gli_krt,mcari_avg,mcari_md,mcari_sd,mcari_asm,mcari_krt,savi_ent,gli_ent,estm_prod,prod
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,1,777544.4498126635,8292756.338235238,6.4,6.7,23.5,80.19,0.21,3.32,5.5,8.02,1.06,1.11,32.22,9.92,,1.2,6.1,6.5,10.37,92.03,0.24,2.66,3.91,5.38,0.22,1.11,37.15,10.79,,2.66,0.026683393865823746,0.026897326111793518,0.009420380927622318,0.401209706302634,1.4943254287338874,0.04634258896112442,0.046667490154504776,0.016229646280407906,0.16065403206217518,0.0948598979301174,0.03747371584177017,0.03348638862371445,0.02379271760582924,3.5714823137238554,18.13888346118622,0.15446294844150543,0.158469557762146,0.04517111927270889,-0.22993585190460514,-0.5084669147890213,0.41739779710769653,0.432320237159729,0.11448127776384354,-0.4434353249562469,-0.28621322060298127,30359.392578125,30359.748046875,76.85157775878906,0.9841615383341086,7.66690313072572,0.8282192349433899,0.8627557158470154,0.1210990622639656,-3.4209181973730556,12.97093585211428,0.45804503560066223,0.46908503770828247,0.08259788155555725,-1.6695808625654387,5.034413033116248,0.5840544104576111,0.6194923520088196,0.12961503863334656,-1.5593252327781184,2.475968500504984,0.5517546534538269,0.5508116483688354,0.04811971262097359,0.05110893992481964,3.254868240110657,0.19739092886447906,0.21623682975769043,0.08486627042293549,-0.8685248446146059,0.2045729152391842,0.4628266990184784,0.4869394898414612,0.19598227739334106,-0.4134296355289445,-0.2961865893664104,6.740679530082554,6.02830228993588,,4636.7764601182
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,2,777465.4272224254,8292695.0566700455,6.5,6.7,27.0,87.5,0.22,3.81,6.08,8.16,1.2,1.11,36.95,10.05,,1.57,6.0,6.5,11.87,85.08,0.22,2.98,4.81,5.51,1.36,1.11,37.06,16.6,,2.98,0.02621621824800968,0.02665896713733673,0.008806023746728897,0.10417953351799253,0.3558991800769413,0.04607010260224342,0.04675544425845146,0.015549530275166035,-0.02273671813772794,-0.314938023535384,0.033658407628536224,0.031843338161706924,0.016634365543723106,2.82284146615752,14.67161218101218,0.15310020744800568,0.1573612093925476,0.04444523900747299,-0.273620111379672,-0.526517818005618,0.4238288998603821,0.4409159719944,0.11235753446817398,-0.5717261837496719,-0.10094273364593764,30212.8203125,30209.9453125,63.489112854003906,0.7581593746711508,2.230343258708639,0.8464410305023193,0.8698482513427734,0.0928618386387825,-3.663392115334074,15.85482937874373,0.46888455748558044,0.475048691034317,0.06968743354082108,-1.2266443085812164,3.786580335858556,0.598714292049408,0.6314080357551575,0.11797676235437393,-1.599773046181858,2.702182087736408,0.5531350374221802,0.5517408847808838,0.04603906720876694,0.150553788735148,0.7439517879333728,0.21729931235313416,0.2351893037557602,0.07910612970590591,-1.161932393047387,1.1215070783745853,0.49750974774360657,0.5237423777580261,0.19334134459495544,-0.5157389549245265,-0.14746885052726277,6.598274195838304,5.972024479996153,,4976.6879391355
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,3,777386.4046321873,8292633.775104862,6.6,6.7,23.14,120.31,0.31,3.42,6.36,7.31,1.08,1.11,31.26,9.51,,1.32,6.2,6.4,5.18,72.01,0.18,2.62,3.54,2.89,0.92,1.11,45.08,13.65,,2.62,0.02513737976551056,0.025252657011151314,0.008596436120569706,0.3819811341369594,1.4110236328660388,0.0437951534986496,0.04397844895720482,0.014920820482075214,0.11913221198874051,-0.12156657190156084,0.033837247639894485,0.031201031059026718,0.017614390701055527,2.7436133634155144,12.585774391823186,0.1455485075712204,0.14822189509868622,0.042666301131248474,-0.1532824441447773,-0.49590180846572673,0.39793071150779724,0.4096190631389618,0.10925477743148804,-0.37170027341546785,-0.2614290389617744,30137.392578125,30153.66015625,70.13994598388672,-1.9859650671715348,5.642265259927159,0.8363723158836365,0.8646557331085205,0.10020601749420166,-3.3232690574921264,12.81759854044761,0.4632904827594757,0.4715912640094757,0.07150217890739441,-1.2569500800311053,3.446116564578028,0.5736388564109802,0.6039698719978333,0.11961190402507782,-1.3713705382348242,1.8840426511008683,0.5532727241516113,0.5523816347122192,0.044360868632793427,0.11685394617034771,0.6215684978518716,0.20309612154960632,0.2220078706741333,0.08240446448326111,-0.9439537232209881,0.38536695706692026,0.44538331031799316,0.46868303418159485,0.18127399682998657,-0.43282806555557896,-0.28797810029841786,6.704688430570467,6.041976948701475,,5194.2309736317
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,4,777307.3820419493,8292572.493539673,6.5,6.6,18.9,78.3,0.2,2.85,5.63,7.63,0.98,1.11,30.96,8.64,,1.51,6.1,6.4,4.72,66.86,0.17,2.26,2.17,2.1,0.89,1.11,41.89,10.63,,2.26,0.024859284982085228,0.02500241808593273,0.008134176954627037,0.28781001050336136,0.9690048004176881,0.04338619112968445,0.0435645654797554,0.01434130035340786,0.10700540018971794,-0.08883545521495106,0.033171698451042175,0.030760325491428375,0.016936281695961952,2.8386976782583564,13.734473442675014,0.144952654838562,0.14809098839759827,0.04135790467262268,-0.21302515898551483,-0.4350282550351503,0.3968476355075836,0.4078025817871094,0.10522831976413727,-0.3897532219468631,-0.18005040451716248,30042.984375,30051.404296875,91.49148559570312,-0.6260977615602589,0.6294851007612303,0.8394204378128052,0.8657995462417603,0.09623678773641586,-3.3931198312028075,13.513960468136048,0.4644140303134918,0.4705822467803955,0.06883696466684341,-1.1124193187214935,3.332683281952403,0.5749303102493286,0.6033716201782227,0.1154237687587738,-1.40280985624678,2.0635452255855116,0.5530598163604736,0.5513268113136292,0.046522900462150574,0.22057962768571948,0.6104466892580107,0.20557937026023865,0.22361649572849274,0.08070343732833862,-0.9792353576278453,0.5379534245677986,0.45223361253738403,0.4769085645675659,0.18182912468910217,-0.47263461199218965,-0.2530779002113608,6.653935953341667,6.03504726365695,,4530.8753117063
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,5,777228.3594517104,8292511.211974483,6.4,6.6,12.96,82.83,0.21,3.45,5.04,6.24,1.01,1.18,51.67,11.24,,1.31,5.9,6.2,5.99,64.68,0.17,2.83,2.91,3.33,1.02,1.19,47.44,12.99,,2.83,0.02428433671593666,0.024542806670069695,0.007705472409725189,0.12816188635171497,0.418449239442368,0.042164623737335205,0.042482875287532806,0.01362929493188858,0.02972476801432633,-0.2192271473598204,0.03124191425740719,0.029447929933667183,0.015169794671237469,2.7964843910450248,13.84622233320216,0.14007312059402466,0.14297723770141602,0.03924799710512161,-0.21694786467157584,-0.4124148175130786,0.393658310174942,0.40577155351638794,0.10217192023992538,-0.46757517212018535,-0.08123986905094105,30087.71484375,30091.48828125,67.97980499267578,-0.7012166727515246,2.6152173280538067,0.8464596271514893,0.8699996471405029,0.09304435551166534,-3.7136666040104322,16.1540288406229,0.4741773307323456,0.4807479679584503,0.06992777436971664,-1.2458530581978167,3.83917208550809,0.576497495174408,0.6051790714263916,0.11310352385044098,-1.5373595367585442,2.613281436492061,0.5595363974571228,0.5583171844482422,0.046426448971033096,0.1647062626957598,0.8805014211065854,0.21112680435180664,0.22753900289535522,0.07718385756015778,-1.080961355176989,0.9578236444313619,0.44622156023979187,0.46804386377334595,0.17089244723320007,-0.5082609214115494,-0.04613691263374742,6.588266878014435,5.988979010102208,,4561.3033555705
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,6,777149.3368614712,8292449.930409295,6.4,6.6,14.5,89.53,0.23,3.51,5.42,6.49,1.1,3.88,71.04,11.35,,1.75,6.0,6.3,5.74,96.35,0.25,2.7,3.11,2.87,1.06,1.2,52.42,11.17,,2.7,0.023929474875330925,0.024001488462090492,0.007498685736209154,0.16024715156126723,0.24290195905696077,0.04149652272462845,0.0414293073117733,0.013522456400096416,0.13452580274789577,-0.14805251131257524,0.030646024271845818,0.028843697160482407,0.014544608071446419,2.709571470831401,13.855471153957716,0.138490229845047,0.13983464241027832,0.03905276209115982,-0.08073550941705696,-0.34926391859229877,0.3898930251598358,0.39705902338027954,0.1026911586523056,-0.29412634880490846,-0.1517947884416322,30205.396484375,30223.892578125,61.70998764038086,-1.1536542152312645,1.0087485924145838,0.8476245999336243,0.8705741763114929,0.09159199148416519,-3.6757809501434338,15.746928049051988,0.47476547956466675,0.48124244809150696,0.0688961073756218,-1.2298171464359897,3.6042674087063826,0.5740405917167664,0.5989273190498352,0.11228272318840027,-1.426021427517203,2.368875887465954,0.5595117211341858,0.5586110353469849,0.04575606435537338,0.07339182868132334,0.7674301106411621,0.2110765427350998,0.22809897363185883,0.07719337195158005,-1.1200416841776475,1.0263849651210482,0.44492626190185547,0.46233946084976196,0.17226260900497437,-0.41038024678018103,-0.03926108928787819,6.634496552846064,5.962138060469456,,4825.0252287037
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,7,777070.3142712327,8292388.648844104,6.3,6.5,13.89,86.34,0.22,3.45,4.63,5.86,0.84,1.11,41.23,8.53,,1.34,5.8,6.2,4.8,55.41,0.14,2.26,2.2,1.99,1.04,1.43,56.65,8.53,,2.26,0.02398785948753357,0.024255333468317986,0.0073779551312327385,0.11403990426131182,0.4947001415975798,0.041644174605607986,0.04187905043363571,0.013350126333534718,0.04248177374256612,-0.17978283319564214,0.03182779625058174,0.029412593692541122,0.016308501362800598,2.8574229347964626,12.83498969327687,0.137435644865036,0.1403309851884842,0.03786926716566086,-0.23959627104313105,-0.3272692615748696,0.38310733437538147,0.39509275555610657,0.09892476350069046,-0.4793587836422054,-0.08404124819451697,30369.6875,30313.22265625,172.84457397460938,0.07415626331014073,0.06822981425600894,0.8393718004226685,0.8675856590270996,0.10044443607330322,-3.3884214568938047,13.049301668581489,0.4702712595462799,0.479388028383255,0.07563646137714386,-1.2653824161902993,3.339088814808842,0.5649639964103699,0.5950640439987183,0.11496636271476746,-1.4863332291413431,2.261487951343602,0.5591269731521606,0.5588642954826355,0.049144744873046875,-0.047542178157954064,0.7574065492004749,0.20468465983867645,0.22194665670394897,0.08382705599069595,-0.8634955375097196,0.3647496496550242,0.4224964380264282,0.44569897651672363,0.16738368570804596,-0.5045273491671336,-0.19961877939730943,6.606019190045677,6.096384361114614,,4567.8533061332
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,8,776992.551269783,8292327.619850171,6.3,6.5,10.8,81.89,0.21,3.53,4.65,5.73,1.28,1.11,45.41,8.53,,1.35,5.6,6.2,5.43,73.56,0.19,2.72,3.12,2.74,1.47,2.76,73.12,9.86,,2.72,0.025946786627173424,0.024270202964544296,0.011813686229288578,1.627786908737588,4.4051950196522816,0.045334819704294205,0.04184529930353165,0.021961679682135582,1.5960957642915214,3.7512613508767982,0.04951268807053566,0.030873820185661316,0.05540843307971954,2.6654430808968943,6.512113797517655,0.1398036777973175,0.13765016198158264,0.04818052053451538,0.5285658488949826,0.6736300405431779,0.3505633771419525,0.3546849489212036,0.10943157225847244,-0.09198955648426334,-0.5078207042111602,30672.685546875,30635.765625,321.03753662109375,0.7565568012898318,2.3038219798560586,0.7507875561714172,0.8567003011703491,0.2451106607913971,-1.9815484699630037,2.518915088691097,0.4236748218536377,0.4697275161743164,0.14738039672374725,-1.5987657888731066,1.7180788709066013,0.49171507358551025,0.5557866096496582,0.18819822371006012,-1.2020479494062415,0.3927978918792512,0.5544138550758362,0.5612505674362183,0.08954393863677979,-2.0843030843254917,14.226891656672937,0.16882793605327606,0.19839470088481903,0.10022588074207306,-0.5577386917139988,-0.9330508784077325,0.3392601013183594,0.37078917026519775,0.19922325015068054,-0.2349932793917186,-0.8313867607708607,7.114146432732378,5.707609317402946,,3663.4707041861
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,9,777483.1682463661,8292835.360823511,6.3,6.6,24.68,63.85,0.16,3.38,4.91,5.63,0.94,1.11,56.11,8.16,,1.1,5.9,6.3,8.06,58.88,0.15,2.78,2.8,2.87,0.98,1.11,53.82,8.39,,2.78,0.026605281978845596,0.02679957076907158,0.008914798498153687,0.33063266087486276,1.2130007840703216,0.045848287642002106,0.04620079696178436,0.0151912160217762,0.07445376504909823,-0.12857432702582727,0.03549091890454292,0.03288235887885094,0.018486667424440384,3.086376994363991,15.605131025862235,0.15287213027477264,0.15645834803581238,0.043127067387104034,-0.2258424245746718,-0.49916156604438333,0.41706082224845886,0.4299365282058716,0.1104811578989029,-0.4189744325063831,-0.21108448491767495,30356.115234375,30364.728515625,85.5643539428711,0.6857800287272138,5.760498356442314,0.8364851474761963,0.8633826375007629,0.1004444882273674,-3.5855735851733623,15.252064271289957,0.4620964825153351,0.47056835889816284,0.07505778223276138,-1.356915944073682,4.083813789240364,0.5887957215309143,0.6183818578720093,0.11874344199895859,-1.4844522320276325,2.454322366651816,0.5508965253829956,0.550296425819397,0.04668862000107765,0.018896773984910957,0.7379628249002765,0.2005237638950348,0.2176208645105362,0.07962442189455032,-0.9435393876815209,0.4967739028370608,0.4654606282711029,0.4878840446472168,0.18315131962299347,-0.4448621959822916,-0.2039486710448739,6.679073781031591,6.0158436068886685,,4438.4243577197
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,10,777404.1456572006,8292774.079256934,6.4,6.6,17.79,82.03,0.21,3.91,5.96,7.03,1.18,1.11,36.14,9.41,,1.66,6.0,6.3,10.92,78.34,0.2,2.72,4.07,4.37,1.25,1.11,41.93,10.26,,2.72,0.02632511593401432,0.026539532467722893,0.008901924826204777,0.29008687907945824,0.9765045094972824,0.0452207513153553,0.045576874166727066,0.015042143873870373,0.06841812606209072,-0.20304739400060434,0.03481278941035271,0.03236477077007294,0.018107902258634567,2.9628868071120733,14.692126149617184,0.15022632479667664,0.15368184447288513,0.043303392827510834,-0.21631967961868206,-0.5169314564220371,0.4123940169811249,0.4266659617424011,0.10921681672334671,-0.4845260747245577,-0.17571571039867173,30218.16796875,30216.693359375,59.498538970947266,1.0638146204022516,3.521491504849532,0.8375370502471924,0.864610493183136,0.10097327828407288,-3.519265989810016,14.437410389705569,0.4653000831604004,0.4726543724536896,0.07258803397417068,-1.3196029125856417,4.064829470141634,0.585882306098938,0.6173930764198303,0.11882161349058151,-1.5439555151881503,2.5247849212595925,0.554939866065979,0.5535985231399536,0.04671754315495491,0.1886007578474522,1.00646457156033,0.2018108069896698,0.2195626199245453,0.08014902472496033,-0.9674636175563788,0.5306282401422031,0.46106502413749695,0.4844503402709961,0.18534044921398163,-0.45990861327765403,-0.21256929211550668,6.6385048734443215,6.007023807161558,,4581.1151550598
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,11,777325.1230680345,8292712.797690365,6.4,6.6,29.0,74.79,0.19,3.23,5.17,8.19,0.96,1.11,39.55,8.84,,1.22,6.0,6.4,8.37,57.08,0.15,2.72,3.58,3.41,1.05,1.27,55.19,8.98,,2.72,0.024165822193026543,0.02410873956978321,0.008394133299589157,0.4304882943810815,1.237189636343766,0.04157530516386032,0.04141503944993019,0.014521168544888496,0.2294219813321043,0.019167429035809924,0.03269409388303757,0.02990611083805561,0.01814243011176586,3.1155501062267925,15.84005608367201,0.13893237709999084,0.14069905877113342,0.04127628356218338,-0.0673264180665508,-0.39799757089864185,0.37709179520606995,0.3848814070224762,0.10559961199760437,-0.23393707856951382,-0.1386560953317253,30145.826171875,30164.109375,70.20099639892578,-1.821817937139554,4.4698490510159266,0.8334168791770935,0.862675666809082,0.10660769045352936,-3.3818177411088044,13.114615164895678,0.4600968658924103,0.46869194507598877,0.07522965967655182,-1.3595521476020573,3.915525866196841,0.5555791854858398,0.5830013751983643,0.12011696398258209,-1.3438323647912174,1.9575365382733692,0.551311731338501,0.5500466823577881,0.047112204134464264,0.18747871926389037,1.047534893525027,0.19760195910930634,0.21446943283081055,0.08375532925128937,-0.8011509276158417,0.16655253704403128,0.4230608344078064,0.43796607851982117,0.17765270173549652,-0.2776435441491566,-0.19420871173599563,6.742556171258564,6.090685089983539,,4609.0257246603
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,12,777246.1004788686,8292651.516123795,6.4,6.7,20.21,139.89,0.36,3.28,5.78,7.32,1.45,1.11,33.57,9.27,,1.57,6.0,6.4,8.59,118.05,0.3,2.59,3.86,3.4,1.33,1.11,47.44,9.68,,2.59,0.023802412673830986,0.023816630244255066,0.008014450781047344,0.3283764100793293,0.8716364290275003,0.041124287992715836,0.041089169681072235,0.014210877940058708,0.1606941936824701,-0.11189797565890247,0.032683879137039185,0.029630638659000397,0.01826142892241478,2.871661048369725,12.613928895723241,0.13639089465141296,0.13834120333194733,0.04048407822847366,-0.11646629365266818,-0.43859232248638946,0.36974671483039856,0.3794248700141907,0.10506204515695572,-0.31612843558756243,-0.22876608491414396,30074.646484375,30084.91015625,81.82551574707031,-0.7509944165467092,0.8722293559719003,0.8292236924171448,0.8622269630432129,0.11337126791477203,-3.2590207741286235,11.837421935106656,0.45857614278793335,0.4692991375923157,0.07955076545476913,-1.4420489746343215,3.9207943881140785,0.5476453900337219,0.578323245048523,0.12392367422580719,-1.3649178277898606,1.8268429137867255,0.5518862009048462,0.551302433013916,0.04849616065621376,0.034857140129383776,1.4235793426904948,0.19585935771465302,0.21379831433296204,0.08406958729028702,-0.8255800787019971,0.15213182438372952,0.4084126949310303,0.4279003143310547,0.17351889610290527,-0.3743446175689582,-0.3146419924813455,6.755447899126486,6.0604489595073865,,5481.8269275686
"Etapa 3 - Final fase reprodutiva, maturacao e colheita",2022-07-08,143,2022-07-08,143,13,777167.0778897025,8292590.234557224,6.2,6.7,29.11,148.3,0.38,3.62,5.7,7.83,1.57,1.11,33.4,11.63,,1.65,6.0,6.5,12.81,145.43,0.37,2.74,4.28,4.28,1.96,1.11,44.16,11.56,,2.74,0.021930910646915436,0.022113418206572533,0.007153340149670839,0.11815195204321224,0.16299294240724072,0.03798515349626541,0.03812377154827118,0.012834724970161915,0.08118956275920197,-0.2213084531231968,0.029338842257857323,0.026598269119858742,0.017317181453108788,3.282465378108937,15.265817871920575,0.12566721439361572,0.12805528938770294,0.0365666002035141,-0.18940827924785805,-0.3980053868116382,0.3498394787311554,0.3610781133174896,0.0957510769367218,-0.4489585325902657,-0.1188025641792887,30107.1796875,30106.845703125,65.4607162475586,-0.26370766196101386,1.916012549428439,0.8370115160942078,0.8688379526138306,0.11670950800180435,-3.54332561852076,13.521540755651866,0.46943360567092896,0.47949910163879395,0.07919145375490189,-1.7716155125634643,5.509438322123637,0.5354600548744202,0.5669307112693787,0.1206551268696785,-1.5387370982328183,2.387550579227365,0.5602244734764099,0.5585367679595947,0.04628570005297661,0.23774622479482369,1.6569741718184412,0.2052120566368103,0.22350740432739258,0.08116860687732697,-1.0396013179790236,0.7140887269099596,0.3924200236797333,0.41344448924064636,0.16270767152309418,-0.4786065249228164,-0.15388044782598254,6.649014720905664,5.96229448480198,,4779.5424804688
